5.1;2
6.1;1
7.1;1 2
8.1;0
9.1;1 2
10.1;2
11.1;1
12.1;1 2
13.1;0
14.1;1 2
15.1;2
16.1;1
17.1;1 2
18.1;0
19.1;1 2
20.1;2
21.1;1
22.1;1 2
23.1;0
24.1;1 2
25.1;2
26.1;1
27.1;1 2
28.1;0
29.1;1 2
30.1;2
31.1;1
32.1;1 2
33.1;0
34.1;1 2
35.1;2
36.1;1
37.1;1 2
38.1;0
39.1;1 2
40.1;2
41.1;1
42.1;1 2
43.1;0
44.1;1 2
45.1;2
46.1;1
47.1;1 2
48.1;0
49.1;1 2
50.1;2
51.1;1
52.1;1 2
53.1;0
54.1;1 2
55.1;2
56.1;1
57.1;1 2
58.1;0
59.1;1 2
60.1;2
61.1;1
62.1;1 2
63.1;0
64.1;1 2
65.1;2
66.1;1
67.1;1 2
68.1;0
69.1;1 2
70.1;2
71.1;1
